Country,Protein_Supply,Male_Height,Female_Height,GDP_Per_Capita
Rwanda,56.071503,162.6789315,154.7868845,2493.44
Saint Kitts and Nevis,96.193,169.6233446,159.1978809,30576.248
Saint Lucia,108.19124,171.9453164,162.3143903,22981.918
Saint Vincent and the Grenadines,116.66787,172.7790021,160.6963389,16139.066
Samoa,105.069305,174.3770605,161.9658644,6805.0454
Sao Tome and Principe,56.77643,167.3845214,158.9062112,5674.7236
Saudi Arabia,105.73436,167.6703062,155.8807485,61359.465
Senegal,69.66371,173.1387425,162.5167652,3998.2864
Serbia,134.1297,180.5674062,167.6901961,19462.25
Seychelles,98.88289,174.2155275,162.0758377,32841.426
Sierra Leone,55.78199,164.4056705,156.5981756,2767.3801
Slovakia,81.622444,179.5012393,167.4661191,36430.793
Slovenia,99.16561,179.8026954,166.0512293,43361.094
Solomon Islands,53.9024,164.1434391,154.4162304,2686.119
Somalia,39.8472,166.6032003,156.0613901,1504.9791
South Africa,77.97541,166.6780993,158.0260573,14553.562
South Korea,110.0407,174.9196246,162.3352853,48834.445
Spain,116.399765,176.5938671,163.3978007,46325.21
Sri Lanka,67.671616,165.6894656,154.5649118,14759.825
Sudan,70.486885,166.6314888,156.0380253,3816.66
Suriname,72.34923,172.7216773,160.6629909,22938.535
Sweden,113.8392,179.7370423,165.697469,60647.45
Switzerland,103.7661,178.42409,163.4526375,79261.36
Syria,68.88109,170.4283087,158.6470419,4956.093
Taiwan,102.31675,174.5214084,161.4534698,
Tajikistan,82.165855,171.2644735,157.327442,3479.6924
Tanzania,59.01818,164.8003909,155.8614517,3392.6887
Thailand,67.90374,169.1624398,157.8689636,20879.902
Togo,55.38139,168.3303395,158.3035391,2517.3489
Tonga,126.26514,176.757346,165.5203371,6885.1025
Trinidad and Tobago,88.80752,173.7350948,160.6408952,33710.02
Tunisia,104.40065,173.9514542,160.3545173,13163.195
Turkey,113.58447,174.2095618,160.4951587,28780.303
Turkmenistan,89.08553,171.9696756,161.7255615,14648.136
Tuvalu,102.605606,169.6401783,158.1003285,4575.869
Uganda,52.57974,165.6249322,156.7187975,2613.88
Ukraine,87.34644,178.457049,166.3392264,16978.984
United Arab Emirates,106.080475,170.4554301,158.6805869,72671.06
United Kingdom,107.938156,177.4901885,164.4020547,52131.695
United States,121.64345,177.1303957,163.5381372,67719.766
Uruguay,103.140564,173.432458,162.1282089,29757.94
Uzbekistan,104.85733,169.3845113,157.8159752,8348.961
Vanuatu,74.979,168.0931899,158.1717491,3482.0227
Venezuela,64.00055,171.5942721,157.435303,
Vietnam,96.91554,164.4455519,153.5935076,10936.894
World,90.67094,171.2803524,159.4916899,19180.416
Yemen,50.93782,159.8869411,153.9703771,
Zambia,48.253937,166.5171435,155.8213586,3646.9597
Zimbabwe,57.831104,168.5860045,158.2151861,5415.4697
